
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
8.9981 3.59924 3.14934 17.57 13.8192 8.79687 
CV Recruit
0.52098 
Alternative 1 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2029  0 1.54552 1.6832 1.44899 1.80829 1.83916 2.30187 0.265516 
2030  0 1.54552 1.6832 1.22843 1.66389 1.6859 2.15148 0.278326 
2031  0 1.54552 1.6832 1.08987 1.5615 1.57827 2.06507 0.289674 
2032  0 1.54552 1.6832 1.03194 1.49282 1.50727 2.00788 0.297316 
2033  0 1.54552 1.6832 0.979089 1.45918 1.45991 1.99024 0.303841 
2034  0 1.54552 1.6832 0.93364 1.43095 1.42676 1.92926 0.303178 

Spawning_Biomass Rex
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 8.9981 3.59924 3.14934 8.79687 8.79687 8.79687 8.79687 9.76996e-14 
2022 8.9981 3.59924 3.14934 9.79501 9.80478 9.80703 9.82681 0.0106185 
2023 8.9981 3.59924 3.14934 10.495 10.5444 10.5528 10.6403 0.0493173 
2024 8.9981 3.59924 3.14934 10.7096 10.8718 10.8995 11.1668 0.156443 
2025 8.9981 3.59924 3.14934 8.4357 8.80361 8.8544 9.43846 0.335211 
2026 8.9981 3.59924 3.14934 6.62788 7.20094 7.27394 8.1721 0.50201 
2027 8.9981 3.59924 3.14934 5.34803 6.05787 6.13133 7.17724 0.593754 
2028 8.9981 3.59924 3.14934 4.4297 5.24642 5.32693 6.46453 0.630984 
2029 8.9981 3.59924 3.14934 3.82373 4.68495 4.76725 5.89762 0.646496 
2030 8.9981 3.59924 3.14934 3.40317 4.31965 4.38454 5.54211 0.651309 
2031 8.9981 3.59924 3.14934 3.20626 4.05715 4.13088 5.25026 0.645279 
2032 8.9981 3.59924 3.14934 3.09681 3.8712 3.969 5.08864 0.635264 
2033 8.9981 3.59924 3.14934 3.03876 3.75834 3.86719 5.06388 0.628166 
2034 8.9981 3.59924 3.14934 2.94736 3.70647 3.7986 4.9459 0.614496 

Fishing_mortalityRex
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 0.246587 0.30933 0.000116495 0.000116495 0.000116495 0.000116495 7.45389e-19 
2022  0 0.246587 0.30933 0.000102941 0.000102993 0.000102988 0.000103016 2.49233e-08 
2023  0 0.246587 0.30933 9.65629e-05 9.71627e-05 9.71074e-05 9.74437e-05 2.93458e-07 
2024  0 0.246587 0.30933 0.246587 0.246587 0.246587 0.246587 5.38458e-15 
2025  0 0.246587 0.30933 0.246587 0.246587 0.246587 0.246587 5.38458e-15 
2026  0 0.246587 0.30933 0.246587 0.246587 0.246587 0.246587 5.38458e-15 
2027  0 0.246587 0.30933 0.246587 0.246587 0.246587 0.246587 5.38458e-15 
2028  0 0.246587 0.30933 0.246587 0.246587 0.246587 0.246587 5.38458e-15 
2029  0 0.246587 0.30933 0.246587 0.246587 0.246447 0.246587 0.00121314 
2030  0 0.246587 0.30933 0.232447 0.246587 0.244993 0.246587 0.0061932 
2031  0 0.246587 0.30933 0.218247 0.246587 0.242457 0.246587 0.0101961 
2032  0 0.246587 0.30933 0.210353 0.246587 0.239992 0.246587 0.0129001 
2033  0 0.246587 0.30933 0.206167 0.246587 0.237763 0.246587 0.0147893 
2034  0 0.246587 0.30933 0.199575 0.246587 0.236221 0.246587 0.0164139 

Total_BiomassRex
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2021 42.4457 11.3144 10.4574 24.5232 24.5232 24.5232 24.5232 6.75016e-14 
2022 42.4457 11.3144 10.4574 24.482 24.9966 25.1152 26.1567 0.559126 
2023 42.4457 11.3144 10.4574 24.1082 25.1629 25.3332 27.0481 0.995248 
2024 42.4457 11.3144 10.4574 23.4606 25.0899 25.2931 27.7345 1.38332 
2025 42.4457 11.3144 10.4574 18.7241 20.7014 20.8924 23.8387 1.64132 
2026 42.4457 11.3144 10.4574 15.1702 17.4741 17.7055 20.8209 1.79388 
2027 42.4457 11.3144 10.4574 12.736 15.2628 15.463 18.699 1.8571 
2028 42.4457 11.3144 10.4574 11.1111 13.6831 13.9079 17.1467 1.88226 
2029 42.4457 11.3144 10.4574 10.0697 12.6141 12.8422 16.0248 1.88202 
2030 42.4457 11.3144 10.4574 9.4487 11.9082 12.1461 15.3921 1.88308 
2031 42.4457 11.3144 10.4574 8.98623 11.3914 11.6677 15.1432 1.891 
2032 42.4457 11.3144 10.4574 8.61207 11.1432 11.3507 14.8041 1.8568 
2033 42.4457 11.3144 10.4574 8.39366 10.9084 11.108 14.3781 1.82852 
2034 42.4457 11.3144 10.4574 8.3533 10.7039 10.9542 14.1716 1.80234 
Alternative 3 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 1.54552 1.6832 0.0019 0.0019 0.0019 0.0019 1.86483e-17 
2022  0 1.54552 1.6832 0.0019 0.0019 0.0019 0.0019 6.66483e-13 
2023  0 1.54552 1.6832 0.0019 0.0019 0.0019 0.0019 3.47699e-11 
2024  0 1.54552 1.6832 0 0 0 0 0 
2025  0 1.54552 1.6832 0 0 0 0 0 
2026  0 1.54552 1.6832 0 0 0 0 0 
2027  0 1.54552 1.6832 0 0 0 0 0 
2028  0 1.54552 1.6832 0 0 0 0 0 
2029  0 1.54552 1.6832 0 0 0 0 0 
2030  0 1.54552 1.6832 0 0 0 0 0 
2031  0 1.54552 1.6832 0 0 0 0 0 
2032  0 1.54552 1.6832 0 0 0 0 0 
2033  0 1.54552 1.6832 0 0 0 0 0 
2034  0 1.54552 1.6832 0 0 0 0 0 

Spawning_Biomass Rex
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 8.9981 3.59924 3.14934 8.79687 8.79687 8.79687 8.79687 9.76996e-14 
2022 8.9981 3.59924 3.14934 9.79501 9.80478 9.80703 9.82681 0.0106185 
2023 8.9981 3.59924 3.14934 10.495 10.5444 10.5528 10.6403 0.0493173 
2024 8.9981 3.59924 3.14934 10.7096 10.8718 10.8995 11.1668 0.156443 
2025 8.9981 3.59924 3.14934 10.5222 10.8998 10.9542 11.5572 0.345981 
2026 8.9981 3.59924 3.14934 10.1427 10.7853 10.8593 11.8674 0.559249 
